,구분,QA
0,진행,"자리 이석 시 어떻게 해야하나요?
이석으로 자리를 비울 경우 외출을 사용해 주시면 됩니다"
1,진행,"출석인정요청은 어떻게 하나요?
출결에 대한 출석인정요청은 D(사유발생일)+7일 이내 가능합니다.단, 단위기간 종료시점의 경우 단위기간 종료일로부터 D+2일 이내 요청하여 주시기 바랍니다."
2,진행,"휴가 제도는 어떻게 되나요?
휴가는 단위기간당 1회 사용 가능하며, 교육은 정상 진행하고 결석 처리는 되지 않습니다."
3,진행,"학교 수업 및 시험은 출결 인정이 되나요?
학과수업 및 시험의 경우 출석 인정이 되지 않으며, 소정 교육시간 내 50% 이상 참석하지 않을 경우 결석 처리 됩니다. 에이블스쿨은 훈련수준 유지를 위해 100% 참여를 권장 드립니다."
4,진행,"국민취업제도 상담을 위한 외출도 출결에 반영되나요?
국취제 상담은 공가처리 불가하여 점심시간 이용을 권장하고 있습니다. 불가한 경우 지각/외출/조퇴처리되며, 이 경우 3회 발생 시 1일 결석과 동일하게 처리됩니다."
5,진행,"결석이나 휴가 사용 시 셀프테스트와 설문 참여가 가능한가요?
○ 출석인정사유에 해당하는 결석(질병, 예비군훈련 등) 또는 휴가사용 - 셀프테스트 점수 미 반영 처리 - 단, 개인의 선택으로 응시한 경우 평가 점수 반영(0~100점)○ 단순 결석 - 0점 처리 - 단, 개인의 선택으로 응시한 경우 평가 점수 반영(0~100점)※ 개인의 역량향상을 위해 프로젝트 또는 셀프테스트가 있는 날에는 교육에 참석하시는 것을 권장 드립니다."
6,진행,"HRD-NET에 출결현황은 언제 반영되나요?
단위기간 종료 후 7일 이내 업로드되며 대한상공회의소에서 출결 정상반영 여부 확인을 위해 개별적으로 연락 드릴 수 있습니다."
7,진행,"일일 교육 타임테이블은 어떻게 되나요?
○ 교육 타임테이블 - 체크인 미팅: 09:20~09:40(출석 체크인) - 오전교육 수강: 09:40~12:30 - 점심시간: 12:30~13:30 - 오후교육 수강: 13:30~17:10 - 체크아웃 미팅 17:20~17:40(출석 체크아웃) 상세 일정은 강의실 > 강의일정에서 확인 부탁드립니다."
8,진행,"대면 & 비대면 교육은 어떻게 진행되나요?
STEP1과 STEP2는 대부분 비대면 교육으로 진행되며, 일부 프로젝트는 대면으로 진행될 수 있습니다. STEP3 빅 프로젝트 수행 기간에는 교육장 사용 필요 시,  신청하여 사용할 수 있습니다."
9,진행,"교과목 강의는 지역과 관계없이 동일하게 진행되나요?
네, 동일합니다. 전국 어디서나 접속 가능한 교육·실습 플랫폼을 기반으로 동일한 품질의 교육을 제공합니다."
10,진행,"수업(강의)시간에 마이크와 카메라를 켜고 참여해야  하나요?
수업(강의)시간에도 팀즈(Teams) 카메라를 켜고 수업 참여하여 주시고 마이크는 사용하지 않습니다(사용 필요한 경우 별도공지).카메라 OFF는 이석으로 간주됩니다.체크인/체크아웃 미팅(팀즈)과 미니프로젝트 개인별/조별 산출물 발표 시에 마이크/카메라를 사용합니다."
11,진행,"강의교안은 어디서 확인할 수 있나요?
강의교안은 강의실>강의 일정> ""교안보기""메뉴를 통해 보실 수 있습니다.교안은 강사 개인의 저작권으로 배포 및 공유할 수 없으니 유의해 주시기 바랍니다."
12,진행,"강의 다시보기를 할 수 있나요?
강의 다시보기는 교육 익일 17:30에 업로드 되며(금요일의 경우 월요일 17:30 등재), 2주간 제공됩니다. AIVLE-EDU > 강의실 > 강의영상에서 다시 볼 수 있으며 이후 다시보기는 불가능합니다."
13,진행,"강의 다시보기에서 부분만 발췌하여 보고 싶은데 어떻게 해야 하나요?
강의 영상을 30초 정도 재생한 후에 학습종료 버튼 누르고 재접속시 강의 영상 하단에 재생바가 생성됩니다. 재생바를 활용해 원하는 위치로 이동하여 강의 다시보기를 하시면 됩니다."
